domain,trial_type,alpha,alpha_ci_lower,alpha_ci_upper,n,trials_per_block,response_option_locations,parts,yi,vi,between_trial_type_differences
Shapes & colors (1),tt1,0.064253655,-0.434483704,0.588150506,12,24,Moving,2,0.066410838,0.4,FALSE
Shapes & colors (1),tt2,-0.183134954,-0.588493306,0.43454012,12,24,Moving,2,-0.168167656,0.4,FALSE
Shapes & colors (1),tt3,0.26610808,-0.360498259,0.727852317,12,24,Moving,2,0.30939351,0.4,FALSE
Shapes & colors (1),tt4,-0.192640548,-0.67232254,0.503086175,12,24,Moving,2,-0.176169797,0.4,FALSE
Shapes & colors (2),tt1,0.627685351,0.208136751,0.884337946,12,24,Moving,2,0.988015951,0.4,FALSE
Shapes & colors (2),tt2,0.111301058,-0.471580502,0.70438618,12,24,Moving,2,0.117996749,0.4,FALSE
Shapes & colors (2),tt3,-0.214125055,-0.662111607,0.549856817,12,24,Moving,2,-0.194023698,0.4,FALSE
Shapes & colors (2),tt4,0.114085789,-0.502624847,0.684573104,12,24,Moving,2,0.12113516,0.4,FALSE
Shapes & colors (3),tt1,-0.243652532,-0.736838685,0.48850768,9,24,Moving,2,-0.21805264,0.571428571,FALSE
Shapes & colors (3),tt2,-0.395833696,-0.810577227,0.433827146,9,24,Moving,2,-0.333491868,0.571428571,FALSE
Shapes & colors (3),tt3,0.496688894,-0.282637992,0.888785546,9,24,Moving,2,0.686546799,0.571428571,FALSE
Shapes & colors (3),tt4,0.367607633,-0.351152614,0.831599419,9,24,Moving,2,0.458245244,0.571428571,FALSE
Shapes & colors (4),tt1,0.472129866,-0.216400532,0.85246914,10,24,Moving,2,0.638904984,0.5,FALSE
Shapes & colors (4),tt2,0.172895926,-0.572524524,0.8074858,10,24,Moving,2,0.189824747,0.5,FALSE
Shapes & colors (4),tt3,-0.354324612,-0.741334361,0.451761546,10,24,Moving,2,-0.303302889,0.5,FALSE
Shapes & colors (4),tt4,0.487420537,-0.030930744,0.839796176,10,24,Moving,2,0.66829953,0.5,FALSE
Shapes & colors (5),tt1,0.231230895,-0.297582338,0.628762519,22,24,Moving,2,0.262964608,0.2,FALSE
Shapes & colors (5),tt2,0.182468923,-0.256036772,0.604155584,22,24,Moving,2,0.201466362,0.2,FALSE
Shapes & colors (5),tt3,0.156067761,-0.28904945,0.566952068,22,24,Moving,2,0.169683073,0.2,FALSE
